country,p,d,q,P,D,Q,s,AIC,BIC,dev_MSE,fit_time
AT,0,0,0,0,0,0,24,831273.795887327,831282.4004654279,56684347.765873015,0.13337135314941406
AT,0,0,0,0,0,1,24,802036.2162554599,802053.4242208014,56519184.24870246,4.320928573608398
AT,0,0,0,0,1,0,24,663277.9661048858,663286.5700875566,1400752.6646825396,1.2699503898620605
AT,0,0,0,0,1,1,24,659547.5413003692,659564.748074141,1826280.7076467625,29.828163385391235
AT,0,0,0,1,0,0,24,663139.3260194707,663156.5340344455,21735549.218297716,3.4716694355010986
AT,0,0,0,1,0,1,24,658267.234919388,658293.0468674003,2068572.217759455,19.051396131515503
AT,0,0,0,1,1,0,24,662479.097752471,662496.3045759058,1411160.4672606057,18.99991273880005
AT,0,0,0,1,1,1,24,651220.0347101251,651245.8448707828,1764031.5569186513,65.20543837547302
AT,0,0,1,0,0,0,24,801248.7052409594,801265.9143475561,56680076.314717576,1.0726635456085205
AT,0,0,1,0,0,1,24,793412.3833779474,793438.1952515078,56514407.896690644,15.931243896484375
AT,0,0,1,0,1,0,24,616337.5521267424,616354.7600424493,1402739.4110321843,7.451191663742065
AT,0,0,1,0,1,1,24,608548.0494897563,608573.8595759178,1908198.4760537136,141.84120869636536
AT,0,0,1,1,0,0,24,616192.3932280964,616218.2052505587,24500902.77869975,23.844383716583252
AT,0,0,1,1,0,1,24,609092.4207648382,609126.8365962522,2111469.3297780664,107.9629738330841
AT,0,0,1,1,1,0,24,615032.4311133893,615058.2413485415,1417297.477937754,75.60078191757202
AT,0,0,1,1,1,1,24,603580.1654113008,603614.5788595162,1780500.5461633361,333.2921919822693
AT,0,0,2,0,0,0,24,793614.3769001407,793640.1904856263,56676702.688006505,5.82189154624939
AT,0,0,2,0,0,1,24,687701.5117080893,687735.9274402315,56512805.87303353,103.60329341888428
AT,0,0,2,0,1,0,24,586868.0053302137,586893.8171293205,1411496.9171940219,24.733633279800415
AT,0,0,2,0,1,1,24,575707.0699506284,575741.4832995131,1898783.2175183368,234.06240367889404
AT,0,0,2,1,0,0,24,586704.7678134236,586739.1838433733,28323684.088542785,62.091328620910645
AT,0,0,2,1,0,1,24,576285.9322690429,576328.9519342209,2104808.6936855186,221.071528673172
AT,0,0,2,1,1,0,24,584505.2196204304,584539.6332672999,1432282.9426352317,68.84582591056824
AT,0,0,2,1,1,1,24,572652.0752934957,572695.0919796014,1796053.4880263594,451.3951737880707
AT,0,1,0,0,0,0,24,590898.8411492223,590907.4457025207,5997707.488095238,0.25640320777893066
AT,0,1,0,0,0,1,24,566462.6554442364,566479.8633599433,5932611.3090491695,10.150871276855469
AT,0,1,0,0,1,0,24,544374.3583542679,544382.9623121214,73698642.51864782,1.9568469524383545
AT,0,1,0,0,1,1,24,526017.4997072382,526034.7064313459,1272273.4724213684,34.51757049560547
AT,0,1,0,1,0,0,24,541060.3622054269,541077.5701707684,7354987.66298067,7.37346887588501
AT,0,1,0,1,0,1,24,526364.2983264942,526390.1102000546,1644079.5070498413,26.73263907432556
AT,0,1,0,1,1,0,24,538329.6809497639,538346.8877235356,28576323.010058776,9.0998854637146
AT,0,1,0,1,1,1,24,525278.6542052914,525304.4642914529,2204766.463457938,48.89982724189758
AT,0,1,1,0,0,0,24,571309.7056637392,571326.9147207297,6168893.347206986,2.4383416175842285
AT,0,1,1,0,0,1,24,554304.0345016635,554329.8463007703,6226057.585891661,16.37637996673584
AT,0,1,1,0,1,0,24,539940.0067629699,539957.214629041,109761427.79588367,4.671099662780762
AT,0,1,1,0,1,1,24,519486.59277447325,519512.4027861367,1522494.6436556883,58.67936873435974
AT,0,1,1,1,0,0,24,535625.3547371107,535651.166685123,7506824.697454867,15.48506236076355
AT,0,1,1,1,0,1,24,519830.8570916316,519865.2728237739,2233424.203573552,43.33029389381409
AT,0,1,1,1,1,0,24,531938.9791096033,531964.7892702611,47451551.4735119,35.02148985862732
AT,0,1,1,1,1,1,24,519283.75948475534,519318.17283363995,2109711.2432064973,71.62664723396301
AT,0,1,2,0,0,0,24,561229.3012623691,561255.1147734436,6631409.879972714,3.691770553588867
AT,0,1,2,0,0,1,24,548745.0852187558,548779.5008516241,6752606.781513042,19.316187858581543
AT,0,1,2,0,1,0,24,538848.125259553,538873.9369842041,149953915.99220833,5.565659523010254
AT,0,1,2,0,1,1,24,517988.1334949684,518022.5467445198,1529196.3175493872,65.63962769508362
AT,0,1,2,1,0,0,24,533944.7489382429,533979.1648689259,7985921.697104374,19.69848394393921
AT,0,1,2,1,0,1,24,518335.64212113473,518378.66166222,2470572.871634817,32.89136028289795
AT,0,1,2,1,1,0,24,530301.5844354169,530335.9979829605,66682015.801579215,48.29033660888672
AT,0,1,2,1,1,1,24,517859.66400204145,517902.6805639807,2007621.0201451548,98.17995047569275
AT,1,0,0,0,0,0,24,590888.4626363842,590905.6717925859,47805157.031026654,1.5325593948364258
AT,1,0,0,0,0,1,24,566442.0738410448,566467.8857890571,50480243.70446266,25.31355333328247
AT,1,0,0,0,1,0,24,543860.762100532,543877.9700658735,1524781.347346076,15.796971797943115
AT,1,0,0,0,1,1,24,525643.7964161441,525669.6065768019,1871992.749570946,63.54122543334961
AT,1,0,0,1,0,0,24,540859.4854424146,540885.297390427,54168846.62921652,15.071091413497925
AT,1,0,0,1,0,1,24,525993.2458599795,526027.6617906626,4820261.4343379885,30.57719588279724
AT,1,0,0,1,1,0,24,537896.8002385189,537922.6103991766,1520581.249604442,30.377164125442505
AT,1,0,0,1,1,1,24,524881.4750404024,524915.8885879461,1843002.1682534213,74.32334041595459
AT,1,0,1,0,0,0,24,571363.3995978581,571389.213257753,50999207.59166901,0.8899173736572266
AT,1,0,1,0,0,1,24,554267.3815031879,554301.7973346019,52389603.35928606,17.654235124588013
AT,1,0,1,0,1,0,24,539157.5717731087,539183.3836466691,1501239.6003803192,4.194146156311035
AT,1,0,1,0,1,1,24,518892.4934908167,518926.9069390321,1890930.3665452332,66.23641753196716
AT,1,0,1,1,0,0,24,535410.3306240807,535444.7465547638,54697946.80976095,17.910664081573486
AT,1,0,1,1,0,1,24,519244.96419825585,519287.98398752324,6477954.973338794,36.91596436500549
AT,1,0,1,1,1,0,24,531284.4254745764,531318.8390221201,1513573.3188697398,40.020431995391846
AT,1,0,1,1,1,1,24,518673.06772176176,518716.084532031,1872470.5086487255,73.14195251464844
AT,1,0,2,0,0,0,24,561417.3789273656,561451.7970413466,53282229.80693573,1.4821958541870117
AT,1,0,2,0,0,1,24,548684.7748293469,548727.7944945248,53807771.71239494,36.33834648132324
AT,1,0,2,0,1,0,24,537812.0291667064,537846.4448988487,1490457.4798153965,6.350325584411621
AT,1,0,2,0,1,1,24,517165.72447184153,517208.7411579473,1894445.2104097605,104.84921026229858
AT,1,0,2,1,0,0,24,533702.4041802454,533745.4240935992,54992062.17117652,20.135239839553833
AT,1,0,2,1,0,1,24,517530.1201720068,517581.74377022026,6893730.075846169,44.73466873168945
AT,1,0,2,1,1,0,24,529401.3872101542,529444.4041445839,1504703.5225397232,46.67010045051575
AT,1,0,2,1,1,1,24,517023.70545066986,517075.3254739968,1878552.3308128403,109.8833258152008
AT,1,1,0,0,0,0,24,562825.4490252605,562842.6581318572,9610848.829195445,0.9008574485778809
AT,1,1,0,0,0,1,24,548857.4405068263,548883.2523803867,8578496.72478681,10.252245903015137
AT,1,1,0,0,1,0,24,539075.5096527885,539092.7175684954,161683255.18278962,3.1990582942962646
AT,1,1,0,0,1,1,24,518351.36845167703,518377.17853783857,1931605.6675661549,34.38950443267822
AT,1,1,0,1,0,0,24,534125.5830245954,534151.3948981558,8531220.665881222,8.543334007263184
AT,1,1,0,1,0,1,24,518690.59602744656,518725.01185886044,3006305.382775895,25.59530758857727
AT,1,1,0,1,1,0,24,530596.9845943688,530622.7946805303,79570680.209555,49.81203818321228
AT,1,1,1,0,0,0,24,561949.929611498,561975.7431969837,8270814.651721709,0.9249382019042969
AT,1,1,1,0,0,1,24,548765.3134209926,548799.7291531349,8181032.756722597,15.645214557647705
AT,1,1,1,0,1,0,24,539045.8274136853,539071.639212792,172275074.05602556,4.806795597076416
AT,1,1,1,0,1,1,24,518317.5178408893,518351.9311897739,1862535.7196551622,62.62500548362732
AT,1,1,1,1,0,0,24,534108.995497243,534143.411328657,8739375.429141505,12.382677793502808
AT,1,1,1,1,0,1,24,518657.3700010964,518700.3896662743,2905121.249630238,40.176987409591675
AT,1,1,1,1,1,0,24,530593.276020256,530627.6894684713,77488375.41900295,33.884913206100464
AT,1,1,1,1,1,1,24,518173.44961635594,518216.4663024617,2443021.5260350266,88.65359687805176
AT,1,1,2,0,0,0,24,560353.4524845318,560387.8704992977,6945847.572122398,3.542246103286743
AT,1,1,2,0,0,1,24,548073.2787331862,548116.2982742715,7301142.965362515,13.921277284622192
AT,1,1,2,0,1,0,24,538838.9318529885,538873.3474858569,153061652.08914825,6.211127042770386
AT,1,1,2,0,1,1,24,517989.68924864335,518032.7058105826,1526489.2105869811,76.19678688049316
AT,1,1,2,1,0,0,24,533857.7237564021,533900.7435456695,8197677.919644404,15.379852533340454
AT,1,1,2,1,0,1,24,518336.62863347237,518388.25208277476,2474778.7694699797,56.84338712692261
AT,1,1,2,1,1,0,24,530275.0432596642,530318.0600699334,67769411.84491217,32.80359959602356
AT,1,1,2,1,1,1,24,517861.2186559671,517912.8385302942,2005064.7432733607,80.0265257358551
AT,2,0,0,0,0,0,24,562674.8978985039,562700.7115583989,55440527.99899728,1.1256709098815918
AT,2,0,0,0,0,1,24,550800.135571378,550834.5515020611,55185357.87393694,9.23318076133728
AT,2,0,0,0,1,0,24,537949.6396285766,537975.451502137,1487047.1158289122,4.589271545410156
AT,2,0,0,0,1,1,24,517403.6762715328,517438.0898190765,1899885.06552871,57.94837999343872
AT,2,0,0,1,0,0,24,533847.9953335462,533882.4111649601,55102529.39270054,16.11621594429016
AT,2,0,0,1,0,1,24,517749.1110286733,517792.1308179407,6784601.070424504,33.17649555206299
AT,2,0,0,1,1,0,24,529541.7506556048,529576.1641038201,1500139.672745097,54.82356405258179
AT,2,0,0,1,1,1,24,517229.99853434484,517273.01534461405,1881962.9406552073,60.99284219741821
AT,2,0,1,0,0,0,24,561840.9378826476,561875.3560958409,55112598.79780596,1.839622974395752
AT,2,0,1,0,0,1,24,548651.2420735504,548694.2618628177,55068802.81124198,21.631770849227905
AT,2,0,1,0,1,0,24,537853.5019324076,537887.9177638215,1485757.2573307294,6.085655450820923
AT,2,0,1,0,1,1,24,517391.6088057903,517434.6256160595,1899727.2399265913,60.36511993408203
AT,2,0,1,1,0,0,24,533817.4699260399,533860.4897153073,55135470.2770051,20.86341881752014
AT,2,0,1,1,0,1,24,517750.21595935634,517801.8397064772,6809057.167217533,37.697720527648926
AT,2,0,1,1,1,0,24,529539.3129764436,529582.3297867128,1499733.7040472855,44.79584193229675
AT,2,0,1,1,1,1,24,517231.8118762158,517283.4320485389,1881958.215832429,92.17612791061401
AT,2,0,2,0,0,0,24,560290.5476116654,560333.5702541415,54414912.803327195,3.4727976322174072
AT,2,0,2,0,0,1,24,547981.0278982982,548032.6514965117,54699183.49185156,41.11066675186157
AT,2,0,2,0,1,0,24,537728.7107630341,537771.730428212,1483879.8376866635,5.278259992599487
AT,2,0,2,0,1,1,24,517141.53148634377,517193.1515096707,1895522.6429045347,148.52171969413757
AT,2,0,2,1,0,0,24,537593.0011292372,537644.6248763581,8016164.701279901,77.34745144844055
AT,2,0,2,1,0,1,24,517504.11073346797,517564.338264717,6927156.284939263,105.00607895851135
AT,2,0,2,1,1,0,24,529306.0061171709,529357.626289494,1499196.9117487716,73.06907558441162
AT,2,0,2,1,1,1,24,516998.23484782863,517058.4582083767,1879375.524825984,179.01764392852783
AT,2,1,0,0,0,0,24,561505.6117604532,561531.4253459389,7371868.666007799,1.0090832710266113
AT,2,1,0,0,0,1,24,548739.1130821321,548773.528913546,7956999.315241923,9.75978708267212
AT,2,1,0,0,1,0,24,539037.865468194,539063.6772673008,175620281.46525592,2.0437304973602295
AT,2,1,0,0,1,1,24,518319.42499211314,518353.83844032855,1813294.6362043552,35.22155523300171
AT,2,1,0,1,0,0,24,534089.010611694,534123.4263438362,8809282.635223456,11.321239948272705
AT,2,1,0,1,0,1,24,518647.0201847333,518690.03984991123,2839240.9278807244,32.52649998664856
AT,2,1,0,1,1,0,24,530577.8231173939,530612.2364662786,76411844.4031473,32.794270277023315
AT,2,1,0,1,1,1,24,518167.0672696951,518210.08395580086,2392663.145301628,63.150174379348755
AT,2,1,1,0,0,0,24,557116.9919349999,557151.4100489808,2670382.1515182215,4.006244659423828
AT,2,1,1,0,0,1,24,545057.3137366313,545100.3334018092,2818227.728663702,32.767064571380615
AT,2,1,1,0,1,0,24,538332.6825956099,538367.0983277522,148615376.47051328,16.37947416305542
AT,2,1,1,0,1,1,24,518318.6399690659,518361.65665517165,1879226.2715379829,158.68455624580383
AT,2,1,1,1,0,0,24,532703.1886461468,532746.2083113247,2362010.0925979014,49.46865224838257
AT,2,1,1,1,0,1,24,517728.065154209,517779.68875242246,1591512.5789972648,120.44574284553528
AT,2,1,1,1,1,0,24,530551.9434341238,530594.9601202295,82918333.6845986,89.6573977470398
AT,2,1,1,1,1,1,24,518158.7902435215,518210.41026684846,2475281.7415534384,189.96484518051147
AT,2,1,2,0,0,0,24,557048.8966574651,557091.9191759225,2931149.3165438296,11.781252145767212
AT,2,1,2,0,0,1,24,544997.4328788054,545049.0563281078,2826422.3613941236,51.83034300804138
AT,2,1,2,0,1,0,24,538802.7590942503,538845.7786353356,117688318.41419542,8.57178258895874
AT,2,1,2,0,1,1,24,518295.1166713477,518346.7365456748,1830545.2245861974,207.50240540504456
AT,2,1,2,1,0,0,24,533832.6135144241,533884.2371126375,7740153.43742944,36.53644609451294
AT,2,1,2,1,0,1,24,529496.5527263738,529556.7800838932,2195743.8919995767,183.74313807487488
AT,2,1,2,1,1,0,24,530067.5202001355,530119.1402234625,1841548.292097799,206.5391845703125
AT,2,1,2,1,1,1,24,518143.0710756051,518203.29426232004,2424431.0353507767,225.7935664653778
AT,1,1,0,1,1,1,24,518197.58575395064,518231.99920216604,2524574.055531751,34.38830018043518
BE,0,0,0,0,0,0,24,857424.0399105935,857432.6444886944,98688065.65337302,0.12349200248718262
BE,0,0,0,0,0,1,24,827343.1379721062,827360.3459374477,98378447.52915071,7.33176064491272
BE,0,0,0,0,1,0,24,654964.671056658,654973.2750393288,1653423.6700396826,1.2656259536743164
BE,0,0,0,0,1,1,24,654485.8199422129,654503.0267159847,1648253.7936065493,21.994605779647827
BE,0,0,0,1,0,0,24,654914.7410477992,654931.9490627741,15264512.068009755,3.091489791870117
BE,0,0,0,1,0,1,24,654865.4469622915,654891.2589103038,13301149.859489195,9.449123620986938
BE,0,0,0,1,1,0,24,654548.9580185441,654566.1648419789,1651564.922917044,17.15800666809082
BE,0,0,0,1,1,1,24,652760.7993572409,652786.6095178986,1572116.2072011281,31.62780451774597
BE,0,0,1,0,0,0,24,827369.1388769903,827386.347983587,98678962.98464942,0.9271862506866455
BE,0,0,1,0,0,1,24,819325.7186317563,819351.5305053167,98368628.67229006,16.237646102905273
BE,0,0,1,0,1,0,24,606143.7586212802,606160.9665369871,1652458.475365027,7.202805519104004
BE,0,0,1,0,1,1,24,603693.6189574645,603719.429043626,2293015.6391819525,78.26527667045593
BE,0,0,1,1,0,0,24,606103.6898593339,606129.5018817962,17340016.67747684,23.64882516860962
BE,0,0,1,1,0,1,24,605821.4273773564,605855.8432087704,11533437.164574826,79.03374314308167
BE,0,0,1,1,1,0,24,605698.5725313734,605724.3827665255,1648373.0373115914,43.18895864486694
BE,0,0,1,1,1,1,24,604722.9550641781,604757.3685123934,1586937.2219377812,155.38512349128723
BE,0,0,2,0,0,0,24,819743.4169933667,819769.2305788524,98670238.65485857,4.562061786651611
BE,0,0,2,0,0,1,24,817270.9757122053,817305.3914443476,98371141.66567421,32.416415214538574
